Distillery;Location;Region;Foundation Year;Owner;Closing Year;Is Closed;Is Demolished;Type of Whisky;URL;Coordinates;Founded;Status;Water source;No. of stills;Capacity;Website;Mothballed;Age(s);Cask type(s);Founder;ABV;Type;Architect;Opened;Annual production volume;Owned by;Characteristics;Company type;Industry;Latitude;Longitude;Image
Aberargie;;Lowland;2017;;;False;False;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Aberargie_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Aberfeldy;;Highland;1896;John Dewar & Sons(Bacardi);;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Aberfeldy_distillery;;1896;Operational;Pitilie Burn;2 wash stills2 spirit stills [1];3,500,000 litres;;;18 Years;American White Oak, Ex-Bourbon Casks (Main);;43%;Single malt;;;;;;;;56.626944;-3.847222;/wiki/File:Aberfeldy_Distillery.jpg
Aberlour;Aberlour;Speyside;1879;Chivas Brothers(Pernod Ricard)[1];;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Aberlour_distillery;;1879;Active;Birkenbush, Target spring;2 Wash stills: each 21,310 L[2]2 Spirit stills: 20,000 L and 15,456 L[2];3.900,000 L;www.aberlour.com;;;;James Fleming;;;;;;;;;;57.474444;-3.220278;/wiki/File:Aberlour_Distillery_-_panoramio.jpg
Abhainn Dearg;Uig, Isle of Lewis;Island;2008;;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Abhainn_Dearg_distillery;;2008 [1];;;;;;;newmake spirit, 3 years;American White Oak, Ex-Bourbon Casks (Main) Ex Sherry Casks;;46%, 56%, 58%;Single malt, Scotch;;;;;;;;58.169444;-7.033889;/wiki/File:Abhainn_Dearg_Distillery_-_panoramio.jpg
Ailsa Bay;South Ayrshire;Lowland;2009;William Grant & Sons;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Ailsa_Bay_distillery;;2009;;Penwapple reservoir;8 wash stills8 spirit stills;12,000,000 liters;Ailsa Bay distillery;;;;;;;;;;;;;;55.2609;-4.835;
Allt-A-Bhainne;;Speyside;1975;Chivas Brothers(Pernod Ricard);;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Allt-A-Bhainne_distillery;;1975;Active;Springs on Benrinnes;2 wash stills2 spirit stills;4,000,000 litres;;;;;;;;;;;;;;;57.389722;-3.203333;/wiki/File:Allt-a-Bhainne_Distillery.jpg
Annandale;Annandale, Dumfries and Galloway;Lowland;1836;Annandale Distillery Company;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Annandale_distillery;;1836;Active;Bore Hole on site;1 wash still2 spirit stills;260,000 L;https://www.annandaledistillery.com/;;;;;;;;;;;;;;55.001681;-3.255708;/wiki/File:Annandale_Distillery,_Annan,_Dumfries_%26_Galloway._View_from_the_main_road.jpg
Arbikie;Inverkeilor;Highland;2013;Stirling family;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Arbikie_distillery;;2013;;;1 wash stills1 spirit stills;200,000 L;arbikie.com;;;;;;;;;;;;;;56.665607;-2.527366;
Ardbeg;;Islay;1815;LVMH;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Ardbeg_distillery;;1815;Operational;Loch Uigeadail;1 wash (18,000 L)1 spirit (17,000 L)[1];1,250,000 litres;;;10 Years;Bourbon, Sherry;;;Single Malt Scotch Whisky;;;;;;;;55.643889;-6.101667;/wiki/File:Ardbeg_Distillery,_Islay_-_geograph.org.uk_-_4150964.jpg
Ardgowan;Inverkip, Scotland, UK;Lowland;1896;;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Ardgowan_distillery;;1896 (original distillery)2016 (modern distillery);Active;;;;;;;;;;;;;;;;;;;;/wiki/File:Baker_Street_-_geograph.org.uk_-_610893.jpg
Ardmore;Kennethmont, Scotland, UK;Highland;1898;Suntory Global Spirits;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Ardmore_distillery;;1898;Operational;Springs on Knockandy Hill;4 wash stills (15,000 each)4 spirit stills (15,000 each)[1];5,530,000 litres;www.ardmorewhisky.com;;Traditional, Triple Wood, Legacy (NAS), 12 years (Port Wood), 25 years, 30 years;American white oak ex-bourbon casks (first)quarter-casks (second)Port Wood (finish);;;Single malt;;;;;;;;57.355833;-2.745556;/wiki/File:Ardmore_Distillery_-_geograph.org.uk_-_1275892.jpg
Ardnahoe;Port Askaig;Islay;2019;Hunter Laing & Company,;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Ardnahoe_distillery;;2019;;Ardnahoe Loch;1 wash still1 spirit still;900,000 L;;;;;;;;;;;;;;;55.868985;-6.117463;/wiki/File:Ardnahoe_Distillery_-_geograph.org.uk_-_5774822.jpg
Ardnamurchan;Ardnamurchan;Highland;2014;Adelphi;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Ardnamurchan_distillery;;2014;;Glenmore River and springs above the distillery;1 wash still1 spirit still;500,000 L;;;;;;;;;;;;;;;56.6920;-5.9396;/wiki/File:Ardnamurchan_Distillery_-_established_2013_-_geograph.org.uk_-_5330534.jpg
Ardross;Alness, Scotland;Highland;2019;Greenwood Distillers;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Ardross_distillery;;2019;;Loch Dubh;1 wash still1 spirit still;1,000,000 L;;;;;;;;;;;;;;;57.745556;-4.338889;
Arran;Lochranza, Isle of Arran;Island;1995;Isle of Arran Distillers Ltd;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Arran_distillery;;1995;Operational;Loch na Davie;2 wash stills2 spirit stills[1];750,000 Litres/per annum;;;10 Years, 12 Years, 14 Years, 18 years, 21 years, 25 years;American White Oak, Ex-Bourbon Casks (Main) Ex Sherry Casks;;46%;Blended scotch;;;;;;;;55.694722;-5.271111;/wiki/File:Arran_Distillery,_Lochranza_,_Isle_of_Arran.jpg
Auchentoshan;Dalmuir, Scotland;Lowland;1823;Suntory Global Spirits;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Auchentoshan_distillery;;1823[1];Operational;Loch Katrine (Production) & Loch Cochno (Cooling)[2];1 wash still[2]1 middle still[2]1 spirit still[2];1,800,000 litres[2];http://www.auchentoshan.com/;;12 Years18 Years21 Years;10 Years matured in American Bourbon with 1 year Oloroso finish and then 1 year Pedro Ximenez finish;;43%[3];Single Malt;;;;;;;;55.922;-4.439;/wiki/File:Auchentoshan_Distillery_-_panoramio.jpg
Auchroisk;Mulben, Banffshire;Speyside;1972;Diageo;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Auchroisk_distillery;;1972;Active;Dorie's Well;4 wash stills4 spirit stills[1];3,100,000 litres of pure alcohol per year;;;;;Justerini & Brooks;;;;;;;;;;57.54800;-3.11553﻿ (Auchroisk distillery);/wiki/File:Auchroisk_Distillery.jpg
Aultmore;Keith, Banffshire;Speyside;1895;John Dewar & Sons(Bacardi);;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Aultmore_distillery;;1895;Open;Auchinderran burn;2 wash stills2 spirit stills[1];2,100,000 litres of pure alcohol per year;;;12 years;;Alexander Edward;46%;;;;;;;;;57.5673;-3.0021;/wiki/File:Aultmore_Distillery_-_geograph.org.uk_-_86359.jpg
Balblair;Edderton;Highland;1790;Inver House Distillers;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Balblair_distillery;;1790;Operational;The Allt Dearg;1 wash still (20,000l)1 spirit still (8,500l)[1];1,800,000 litres of alcohol;;;;;;;;;;;;;;;57.847222;-4.169444;/wiki/File:Balblair_Distillery_(geograph_6427804).jpg
Ballindalloch;Ballindalloch, Banffshire;Speyside;2014;Macpherson-Grant family;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Ballindalloch_distillery;;2014;Operational;Garline Springs;1 Wash Still1 Spirit Still;100,000 L;;;;;;;;;;;;;;;;;/wiki/File:Ballindalloch_Distillery_-_geograph.org.uk_-_5980691.jpg
Balmenach;Cromdale, Scotland;Speyside;1824;Inver House Distillers;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Balmenach_distillery;;1824;Active;Spring on the Cromdale Hills;3 wash stills, 3 spirit stills[1];2,000,000 litres of alcohol;;;;;;;;;;;;;;;57.321944;-3.542222;/wiki/File:Balmenach_Distillery_-_geograph.org.uk_-_3457850.jpg
Balvenie;Dufftown;Speyside;1892;William Grant & Sons;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Balvenie_distillery;;1892;Operational;Robbie Dubh;5 Wash Stills6 Spirit Stills[1];5,600,000 litres;;;10-year-old12-year-old14-year-old15-year-old17-year-old18-year-old21-year-old25-year-old30-year-oldvarious vintages;Bourbon, Sherry, Port, Rum, Madeira;;;;;;;;;;;57.4575;-3.118611;/wiki/File:Balvenie_Distillery,_Dufftown_-_geograph.org.uk_-_162696.jpg
Ben Nevis;Fort William;Highland;1825;Nikka;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Ben_Nevis_distillery;;1825;Operational;Allt a'Mhuilinn;2 wash (25,000 Liters)2 spirit (20,000 Liters)[1];2,000,000 litres;;;10-year-old;;;;Single malt;;;;;;;;56.847222;-5.067778;/wiki/File:Ben_Nevis_Distillery_(38584945072).jpg
Benbecula;;Island;2024;;;False;False;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Benbecula_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
BenRiach;Moray, Scotland;Speyside;1898;Brown-Forman;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/BenRiach_distillery;;1898;Active;Burnside Springs;2 wash stills2 spirit stills[1];"1,300,000 litres (290,000 imp gal; 340,000 US gal)";;;12 years old;Ex-Bourbon, Ex-Sherry, Ex-Marsala;;46.0%;;;;;;;;;57.61;-3.288056;/wiki/File:Ben_Riach_Distillery_-_geograph.org.uk_-_1134410.jpg
Benrinnes;"Aberlour 57°26′31″N 3°14′13″W﻿ / ﻿57.44188°N 3.23686°W﻿ / 57.44188; -3.23686";Speyside;1826;Diageo;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Benrinnes_distillery;;1826;Open;Scurran Burn and Rowantree Burn;2 wash stills4 spirit stills[1];2,500,000 L;;;15 years old;;John Innes;;Speyside;;;;;;;;57.44188;-3.23686;/wiki/File:Benrinnes_Distillery_-_geograph.org.uk_-_1070557.jpg
Benromach;Forres, Moray, Scotland;Speyside;1898;Gordon & MacPhail;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Benromach_distillery;;"1898; 127 years ago (1898)";Operational;Chapelton Springs in the Romach Hills;1 wash stills1 spirit stlls[1];400,000 litres;www.benromach.com;;;;;;Single malt;Charles C. Doig;;;;;;;57.61;-3.626944;/wiki/File:Benromach_Distillery.jpg
Blackness;;Lowland;2024;;;False;False;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Blackness_Bay_Distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Bladnoch;Wigtown, Galloway;Lowland;1817;David Prior;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Bladnoch_distillery;;1817;Operational;River Bladnoch;2 wash2 spirit[1];1.5 million litres;http://www.bladnoch.com;;;;;;;;;;;;;;54.864167;-4.4575;/wiki/File:Bladnoch_Distillery_-_panoramio_(4).jpg
Blair Athol;Pitlochry;Highland;1798;Diageo;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Blair_Athol_distillery;;1798;Operational;Allt Dour Burn;2 wash stills (13,000 liters)2 spirit stills (12,000 liters)[1];2,500,000 litres;;Soon after 1798 to 18251932 to 1949;12 Years;;;43%;Single malt;;;;;;;;56.694722;-3.728611;/wiki/File:Blair_Athol_Distillery_-_geograph.org.uk_-_777286.jpg
Bonnington;;Lowland;2020;;;False;False;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Bonnington_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Borders;Hawick, Scottish Borders, Scotland;Lowland;2018;;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Borders_distillery;;2018 (2018);Active;River Teviot;2 wash stills2 spirit stills;2,000,000 L;www.thebordersdistillery.com;;;;"
George Tait
Tony Roberts
Tim Carton
John Fordyce
";;;;;;;;;;55.42452;-2.78887;/wiki/File:Borders_Distillery.jpg
Bowmore;;Islay;1779;Suntory Global Spirits;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Bowmore_distillery;;1779;Operational;River Laggan, Islay;2 wash2 spirit[1];1,700,000 L;;;Legend12-year-old15-year-old18-year-old25-year-old;American Oak (86%)Sherry (14%);;;;;;;;;;;55.7625;-6.288056;/wiki/File:Morrison_Bowmore,_Islay.jpg
Braeval;Chapeltown, Banffshire, Scotland;Speyside;1973;Chivas Brothers(Pernod Ricard);;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Braeval_distillery;;1973 (1973);Active;Preenie & Kate's Well (distilling), Pitilie Burn (cooling water);2 wash stills4 spirit stills[1];4,200,000;;2002-2008;;;;;;;;;;;;;57.271111;-3.254167;/wiki/File:Braeval_Distillery_-_geograph.org.uk_-_2287000.jpg
BrewDog;;Highland;2007;;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/BrewDog_distillery;;2007 (2007);;;;;www.brewdog.com ;;;;;;;;;;;;Public limited company;Drink industry;;;/wiki/File:Brewdog_logo_2022.png
Brora;Brora, Scotland;Highland;1819;Diageo;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Brora_distillery;;1819;Active;Clynemilton Burn;1 wash still (13,500 L)1 spirit still (13,500 L)[1];;www.brora.com;1983-2021;;;;;;;;;;;;;58.016944;-3.881111;/wiki/File:Brora_Distillery_-_geograph.org.uk_-_1140670.jpg
Bruichladdich;Rhinns of the isle of Islay, Scotland;Islay;1881;The Bruichladdich Distillery Co. Ltd;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Bruichladdich_distillery;;1881;Operational;Bruichladdich loch (mash), burn (cooling), and Octomore spring (bottling);2 wash (12,000 litres)2 spirit (11,000 litres) 1 Lomond (adjustable)[1];1,500,000 litres;;1907–1918, 1929–1935, 1941–1945, 1994–2000;Octomore 13.1, Octomore 13.2, Octomore 13.3, Octomore 13.4;American Oak;;;;;;;;;;;55.766359;-6.3625;/wiki/File:Distilleryreflection.jpg
Bunnahabhain;Islay;Islay;1881;Distell(Heineken N.V.);;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Bunnahabhain_distillery;;1881;Operational;Margadale River;2 wash (30,000 litres)  2 spirit (15,000 litres) [1];3,500,000 litres per annum;bunnahabhain.com;;;;;;;;;;;;;;55.883230;-6.126261;/wiki/File:Bunnahabhain_distillery_-_geograph.org.uk_-_1856779.jpg
Burn O'Bennie;;Highland;2021;;;False;False;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Burn_O%27Bennie_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Cabrach;;Speyside;2024;;;False;False;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Cabrach_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Cairn;;Speyside;2022;;;False;False;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Cairn_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Caol Ila;Port Askaig;Islay;1846;Diageo;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Caol_Ila_distillery;;1846;Operational;Loch nam Ban;3 wash (19,000 L)3 spirit (12,000 L)[1];6,500,000 L;;1930–1937, 1942–1945;12-year-old[2]cask strength[3]18-year-old[4]25-year-old[5];American oak;;43%;;;;;;;;;55.864167;-6.101667;/wiki/File:Caol_Ila_Distillery_-_geograph.org.uk_-_2567901.jpg
Cardhu;Archiestown, Moray, Scotland;Speyside;1824;Diageo;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Cardhu_distillery;;1823 (1823);;Sources in the Mannoch Hills and Lyne Burn;3 wash stills (12,000 L)3 wash stills (10,500 L);3,500,000 L;Cardhu distillery;;;;John & Helen Cumming;;;;;;;;;;57.474444;-3.355833;/wiki/File:Cardhu.jpg
Clydeside;Glasgow;Lowland;2017;Morrison Glasgow Distillers;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Clydeside_distillery;;2017;;Loch Katrine;1 wash still1 spirit still;500,000 L;;;;;;;;;;;;;;;55.862364;-4.296986;/wiki/File:The_Queen%27s_Dock_Pumping_House,_River_Clyde,_Glasgow,_Scotland.jpg
Clynelish;Brora, Sutherland;Highland;1967;Diageo;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Clynelish_distillery;;1967;Operational;Clynemilton burn;3 wash stills3 spirit stills;4,800,000 litres;;;Non aged statement;Bourbon;;48%;Single malt;;;;;;;;58.016944;-3.881111;/wiki/File:Clynelish_Distillery._-_panoramio.jpg
Crafty;;Lowland;2017;;;False;False;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Crafty_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Cragganmore;Ballindalloch;Speyside;1869;Diageo;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Cragganmore_distillery;;1869;Active;The Craggan Burn;2 wash stills2 spirit stills;1,520,000 litres;;;;;;;;;;;;;;;57.406667;-3.389722;/wiki/File:Cragganmore_Distillery_-_geograph.org.uk_-_1070541.jpg
Craigellachie;Craigellachie, Moray, Banffshire;Speyside;1891;John Dewar & Sons(Bacardi);;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Craigellachie_distillery;;1891;Operational;Local;2 wash stills2 spirit stills;4,000,000 litres of alcohol per annum;;;;;;43%;Single malt;;;;;;;;57.491389;-3.186389;/wiki/File:Craigellachie_Distillery_-_geograph.org.uk_-_589148.jpg
Daftmill;Cupar, Fife;Lowland;2005;;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Daftmill_distillery;;2005;Active;Cupar / Daftmill spring;1 wash still1 spirit still;2,500 litre wash still / 1,500 litre spirit still;;;n/a;;;;;;;;;;;;56.288056;-3.101667;/wiki/File:Daftmill_Distillery_-_panoramio.jpg
Dailuaine;Charlestown-of-Aberlour, Strathspey;Speyside;1852;Diageo;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Dailuaine_distillery;;1852;Active;The Bailliemullich Burn;3 wash stills (18.700 L) 3 spirit stills (20.500 L)[1];3,370,000 litres;;;;;;;;;;;;;;;57.4575;-3.271111;/wiki/File:Dailuaine_Distillery_-_geograph.org.uk_-_1627046.jpg
Dalmore;Alness, Scotland;Highland;1839;Whyte & Mackay;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Dalmore_distillery;;1839;Operational;Alness river;"4 wash 16,500 + 8,250 litres (3,630 + 1,810 imperial gallons; 4,360 + 2,180 US gallons)4 spirit 11,000 + 7,300 litres (2,400 + 1,600 imperial gallons; 2,900 + 1,900 US gallons)[1]";"4,200,000 litres (920,000 imperial gallons; 1,100,000 US gallons)";;;12,[2] 15,[3] 18,[4] 25;;;40;Single Malt;;;;;;;;57.694722;-4.237222;/wiki/File:Dalmore_Distillery_-_geograph.org.uk_-_958488.jpg
Dalmunach;Carron;Speyside;2015;Chivas Brothers(Pernod Ricard);;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Dalmunach_distillery;;2015;;Balintomb water supply;4 wash stills4 spirit stills;10.000,000;;;;;;;;;;;;;;;57.4575;-3.305;/wiki/File:The_Dalmunach_Distillery_from_the_Speyside_Way_-_geograph.org.uk_-_5542656.jpg
Dalwhinnie;Dalwhinnie;Highland;1898;Diageo;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Dalwhinnie_distillery;;1898;Active;Allt an t-Sluic;1 wash still: 17,000 L1 spirit still: 14,000 L[1];1,300,000 L;;;;;John Grant, George Sellar and Alexander Mackenzie;;;Charles Chree Doig;;;;;;;56.948889;-4.237222;/wiki/File:Dalwhinnie_Distillery_-_geograph.org.uk_-_1816007.jpg
Deanston;Deanston, Perthshire;Highland;1965;CVH Spirits Limited;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Deanston_distillery;;1965;active;River Teith;2 wash stills 20.000l, 2 spirit stills 17.000l[1];3,000,000 litres;;;;;;;;;;;;;;;56.186389;-4.067778;/wiki/File:Deanston_Distillery_-_Doune,_Stirling,_Great_Britain.jpg
Dornoch;Dornoch, Scotland;Highland;2017;;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Dornoch_distillery;;2017;Operational;;1 wash stills1 spirit stills;;;;;;Simon and Philip Thompson;;;;;;;;;;57.881111;-4.016944;
Dufftown;Dufftown, Moray;Speyside;1895;Diageo;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Dufftown_distillery;;1895;;Jock's Well, Conval Hills Sprin;3 wash stills3 spirit stills;4,000,000 litres;;;;;;;;;;;;;;;57.435748;-3.127820;/wiki/File:Dufftown_distillery.jpg
Dunphail;;Speyside;2023;;;False;False;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Dunphail_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Eden Mill;Guardbridge, Fife;Lowland;2012;;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Eden_Mill_St_Andrews_distillery;;2012;Active;;;0.06 MLPA;;;;;;;;;;;;;;;56.355833;-2.898056;/wiki/File:Eden_and_paper_mill._-_geograph.org.uk_-_50837.jpg
Edradour;Pitlochry, Perthshire;Highland;1825;Signatory Vintage Scotch Whisky Company;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Edradour_distillery;;1825 (200 years ago) (1825);Active;Ben Vrackie Springs;1 wash still 4200 L,  1 spirit still 2200 L[1];95,000 litres;;;;;;;;;;;;;;;56.711667;-3.711667;/wiki/File:EdradourDistillery-pjt1.jpg
Falkirk;Falkirk, Scotland;Lowland;2020;;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Falkirk_distillery;;2020;;;1 wash still1 spirit still;200,000 L;;;;;George Stewart;;;;;;;;;;55.999722;-3.728611;/wiki/File:Falkirk_Distillery_Company_-_geograph.org.uk_-_5436701.jpg
Fettercairn;"Fettercairn 56°51′13″N 2°34′57″W﻿ / ﻿56.8535°N 2.5825°W﻿ / 56.8535; -2.5825";Highland;1824;Whyte & Mackay;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Fettercairn_distillery;;1824;Open;Sources on the Grampian mountains;"2 wash stills (12,800 L)two spirit stills (12,800 L)[1]
   and 11 Washbacks";2,200,000 litres of pure alcohol per year [approx.];;1926 to 1939;;;Sir Alexander Ramsay;;;;;;;;;;56.8535;-2.5825;/wiki/File:Fettercairn_Distillery_-_geograph.org.uk_-_870131.jpg
Glasgow;Glasgow;Lowland;2015;;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Glasgow_distillery;;2015;;Loch Katrine;2 wash stills2 spirit stills;440,000 litres;;;;;Liam Hughes, Mike Hayward, Ian McDougall;;;;;;;;;;55.863287;-4.362140;
Glenallachie;"Aberlour 57°27′19″N 3°13′43″W﻿ / ﻿57.45518°N 3.22871°W﻿ / 57.45518; -3.22871";Speyside;1967;The GlenAllachie Distillers Co Limited;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Glenallachie_distillery;;1967;Open;Sources on Ben Rinnes;2 wash stills2 spirit stills;4,000,000 litres of pure alcohol per year;www.theglenallachie.com;;;;Mackinlay McPherson;;;W. Delme Evans;;;;;;;57.45518;-3.22871;/wiki/File:Glenallachie_Distillery_-_geograph.org.uk_-_741359.jpg
Glenburgie;Alves, Moray, Scotland;Speyside;1810;Chivas Brothers(Pernod Ricard);;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Glenburgie_distillery;;1810;Operational;;3 wash (11,750 L),[1] 3 spirit (15,000 L);4,200,000 litres of pure alcohol per year;;1870 to 1878, 1927 to 1935, 2000 - 2004;;;;;;;;;;;;;57.62179;-3.51675;/wiki/File:Glenburgie.jpg
Glencadam;Brechin, Angus;Highland;1825;Angus Dundee plc;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Glencadam_distillery;;1825;Operational;River South Esk;1 wash (14,000 L)[1]1 spirit (14,000 L);1,500,000 litres/per annum;;;~ 8 Years to 30 Years;Bourbon Casks;;46%;Blended whisky or Vatted malt;;;;;;;;56.745556;-2.660833;/wiki/File:Glencadam_Distillery_-_geograph.org.uk_-_779592.jpg
Glendronach;;Highland;1826;Brown-Forman;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Glendronach_distillery;;1826;Active;Dronac Burn;2 wash (13,635 L),[1]2 spirit (6,800 L);1,300,000 litres per annum;;;No Age Statement;Oloroso Sherry;;>54%;;;;;;;;;57.4847;-2.6255;/wiki/File:GlenDronach.jpg
Glendullan;Dufftown;Speyside;1897;Diageo;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Glendullan_distillery;;1897;Operational;Goats Well Spring;3 wash stills3 spirit stills;3,700,000 L;;;Twelve years, Rare and Fine Malts- Twenty-Three Years Distilled in 1974;;;;;;;;;;;;57.440556;-3.118611;/wiki/File:Glendullan_Distillery_-_panoramio.jpg
Glen Elgin;;Speyside;1898;Diageo;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Glen_Elgin_distillery;;1898;Active;Millbuies Loch Springs;3 wash stills (7000 liters)3 spirit stills (8000 liters)[1];1,830,000 liters;;;;;;;;;;;;;;;57.593056;-3.271111;/wiki/File:Glen_Elgin_Distillery_-_geograph.org.uk_-_1190708.jpg
Glenfarclas;;Speyside;1836;J. & G. Grant;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Glenfarclas_distillery;;1836;Active;Ben Rinnes;3 wash stills (29,600 L) 3 spirit stills (25,000 L);4,000,000 litres;;;;;;;;;;;;;;;57.423611;-3.305;/wiki/File:Copper_still_at_Glenfarclas_distillery_-_geograph.org.uk_-_3237457.jpg
Glenfiddich;Dufftown, Moray, Scotland;Speyside;1886;William Grant & Sons;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Glenfiddich_distillery;;"1886; 139 years ago (1886)";Operational;The Robbie Dhu Spring;16 wash stills27 spirit stills;21 million litres;glenfiddich.com;;18 years old;;;40.0%;;;;;;;;;57.4575;-3.118611;/wiki/File:Glenfiddich_Text_Logo.svg
Glen Garioch;Aberdeenshire, Scotland;Highland;1797;Suntory Global Spirits;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Glen_Garioch_distillery;;1797;Operational;The Silent Spring of Coutens Farm;2 wash (20,000 + 10,000 L)2 spirit (11,000 L)[1];1,000,000 L;;;;;;;;;;;;;;;57.338889;-2.321944;/wiki/File:Glen_Garioch_Distillery_-_geograph.org.uk_-_701231.jpg
Glenglassaugh;Portsoy, Banffshire;Highland;1875;Brown-Forman;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Glenglassaugh_distillery;;1875;Operational;Glassaugh Spring;1 wash still1 spirit still;1,000,000 litres/per annum;;1986–2008;;;;;;;;;;;;;57.677778;-2.745556;/wiki/File:Glenglassaugh_Distillery.jpg
Glengoyne;Dumgoyne, Scotland;Highland;1833;Ian Macleod Distillers;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Glengoyne_distillery;;1833[1];Operational;"Stream water from Dumgoyne
Hill[2]";1 wash still[1]2 spirit stills[1];1,100,000 litres[1];;;10 years12 YearsCask strength15 years18 years21 years25 years30 years;80% refill20% first fill sherry wood;;40%–57.2%[3];Single malt;;;;;;;;56.01403;-4.36378﻿ (Glengoyne Distillery);/wiki/File:Glengoyne_distillery_2022.jpg
Glen Grant;;Speyside;1840;Campari Group;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Glen_Grant_distillery;;1840;Active;The Glen Grant burn;"4 wash stills (15,000 L),
 4 spirit stills (9,600 L)[1]";5,900,000 litres;;;;;;;;;;;;;;;57.525278;-3.203333;/wiki/File:01-Glen-Grant.jpg
