Distillery;Location;Region;Foundation Year;Owner;Closing Year;Is Closed;Is Demolished;Type of Whisky;URL;Coordinates;Founded;Status;Water source;No. of stills;Capacity;Website;Mothballed;Age(s);Cask type(s);Founder;ABV;Type;Architect;Opened;Annual production volume;Owned by;Characteristics;Company type;Industry;Latitude;Longitude;Image
Mortlach;Dufftown, Moray, Scotland;Speyside;1823;Diageo;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Mortlach_distillery;;1823;Active;Dykehead Catsvraig;3 wash stills3 spirit stills;3,700,000 litres;;;;;;;;;;;;;;;57.440556;-3.118611;/wiki/File:Mortlach_Distillery_-_geograph.org.uk_-_2188332.jpg
Nc’nean;Morvern, Scotland;Highland;2017;Drimnin Distillery Co;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Nc%27nean_distillery;;2017;;Two nearby springs;1 wash still, 1 spirit still;;ncnean.com ;;;;;;;;;;;;;;56.5987;-5.9654;/wiki/File:Nc%E2%80%99nean_Distillery_in_Drumlin_die_Brennblasen.jpg
North Uist;;Island;2024;;;False;False;Malt Whisky;https://en.wikipedia.org/w/index.php?title=North_Uist_distillery&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
Oban;Oban;Highland;1794;Diageo;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Oban_distillery;;1794 (1794);Operational;Two lochs in Ardconnel;1 wash1 spirit;670,000 litres per year;;;14, 18, 21, 32;;John and Hugh Stevenson;;;;;;;;;;56.406667;-5.474444;/wiki/File:Oban_Distillery_-_geograph.org.uk_-_4192307.jpg
Port Ellen;;Islay;1825;Diageo;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Port_Ellen_distillery;;1825;Active;Leorin Lochs;2 wash2 spirit;2.7 ML;;1983 - 2024;;;;;;;;;;;;;55.643889;-6.186389;/wiki/File:Port_Ellen_Distillery.jpg
Port of Leith;Edinburgh, Scotland, UK;Lowland;2023;;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Port_of_Leith_distillery;;"2023; 2 years ago (2023)";Operational;;1 wash still1 spirit still;400,000 L;www.leithdistillery.com;;;;Paddy Fletcher and Ian Stirling;;;;;;;;;;55.982778;-3.169444;/wiki/File:Port_of_Leith_Distillery.jpg
Pulteney;;Highland;1826;Inver House Distillers;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Old_Pulteney_distillery;;1826;Active;Loch Hempriggs;1 wash still (16,100 L)1 spirit still (13,200 L);1,000,000 litres;;;;;;;;;;;;;;;58.440556;-3.084722;/wiki/File:Pulteney_Distillery.jpeg
Raasay;Isle of Raasay;Island;2014;R&B Distillers;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Isle_of_Raasay_distillery;;2014;;Tobar na ba baine spring and borehole;1 wash still1 spirit still;940,000 L;raasaydistillery.com;;;;Bill Dobbie & Alasdair Day;;;;;;;;;;57.35183;-6.07382;/wiki/File:Isle_of_Raasay_Distillery.png
Rosebank;"Camelon, Scotland 56°00′08.7″N 3°48′13.0″W﻿ / ﻿56.002417°N 3.803611°W﻿ / 56.002417; -3.803611";Lowland;1798;Ian Macleod Distillers;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Rosebank_distillery;;1798;Operational;Carron Valley Reservoir;three pot, two wash, one spirit;559,169.301 litres per year;www.rosebank.com;1993 to 2002, closed 2002 to 2023;17 years old;oak;Stark Brothers;43%;Lowland;;;;;fruit/floral;;;56.0;-3.813333;/wiki/File:Rosebank.jpg
Roseisle;Roseisle;Speyside;2010;Diageo;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Roseisle_distillery;;2010;;Borehole;7 wash stills7 spirit stills;10,000,000 L;;;;;;;;;;;;;;;57.677778;-3.474444;/wiki/File:Roseisle_Distillery_(geograph_1324249).jpg
Royal Brackla;Cawdor Estate, near Nairn, Highland;Highland;1812;John Dewar & Sons(Bacardi);;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Royal_Brackla_distillery;;1812;Operational;Cawdor Burn, Cursack Springs and Airfield supply;2 wash stills, 2 spirit stills;3,500,000 litres (770,000 imp gal);;;;;;;;;;;;;;;57.542222;-3.915;/wiki/File:Royal_Brackla_Distillery_-_geograph.org.uk_-_1720026.jpg
Royal Lochnagar;Lochnagar, Royal Deeside;Highland;1845;Diageo;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Royal_Lochnagar_distillery;;January 1845;;Springs in the hills of Lochnagar[1];1 wash still (6,700 L)1 spirit still (3,720 L);450,000 litres;Royal Lochnagar;;;;John Begg;;;;;;;;;;57.016944;-3.203333;/wiki/File:Royal_Lochnagar_Distillery_Main_Building_2012.jpg
Saxa Vord;Isle of Unst;Island;2015;;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Saxa_Vord_distillery;;2015;;;;;https://www.shetlandreel.com/;;;;;;;;;;;;;;60.7978;-0.824;/wiki/File:Shetland_Reel_distillery.jpg
Scapa;Kirkwall, Orkney;Island;1885;Chivas Brothers(Pernod Ricard);;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Scapa_distillery;;1885;Operational;Lingro Burn;1 wash still1 spirit still;1,000,000 litres;;;;;;;Skiren;;;;;;;;58.965833;-2.999722;/wiki/File:Scapa_-_panoramio.jpg
Speyburn;;Speyside;1897;Inver House Distillers;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Speyburn_distillery;;1897;Active;Granty Burn;1 wash still1 spirit still;1,000,000 litres;www.speyburn.com;;;;;;;;;;;;;;57.542222;-3.203333;/wiki/File:The_delightfully_located_Speyburn_Distillery_-_geograph.org.uk_-_3457103.jpg
Speyside;Kingussie;Speyside;1990;Harvey's of Edinburgh;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/The_Speyside_distillery;;1990;;River Tromie;1 wash still1 spirit still;600,000 L;;;;;;;;;;;;;;;;;
Springbank;;Campbeltown;1828;J&A Mitchell & Company;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Springbank_distillery;;1828;Operational;Crosshill Loch;1 wash still (10,000 L)2 spirit still (6,000 L);750,000 litres yearly[1];;;10-year-old;BourbonSherryWine;;;;;;;;;;;55.423611;-5.61;/wiki/File:Springbank_Distillery,_Campbeltown.jpg
Strathearn;Methven;Highland;2013;Douglas Laing & Co;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Strathearn_distillery;;"2013; 12 years ago (2013)";;;1 wash still1 spirit still;;www.strathearndistillery.com;;;;;;;;;;;;;;56.389722;-3.626944;
Strathisla;Keith, Moray, Scotland;Speyside;1786;Chivas Brothers(Pernod Ricard);;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Strathisla_distillery;;1786;Operational;The Broomhill Spring.;2 wash stills2 spirit stills;2,400,000 litres per annum;;;12 Years, 14 Years, 19 Years, 25 Years;American White Oak, Ex-Bourbon Casks (Main);;40% - 43%;Single malt;;;;;;;;57.54649;-2.95427;/wiki/File:Strathisla_Distillery_1.jpg
Strathmill;Keith, Moray;Speyside;1891;Diageo;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Strathmill_distillery;;1891;Operational;Local springs.;2 wash stills2 spirit stills;1,800,000 Litres per annum;;;;;;;;;;;;;;;57.542222;-2.965833;/wiki/File:Strathmill_Distillery_-_geograph.org.uk_-_1070412.jpg
Talisker;Carbost, Isle of Skye;Island;1830;Diageo;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Talisker_distillery;;1830;Active;Carbost / Cnoc nan Speireag (Hawk Hill);2 wash stills (10,000 L)3 spirit stills (7,479 L);3,500,000 L;;;10 Years18 Years25 Years30 Years35 Years;;;;;;;;;;;;57.305;-6.355833;/wiki/File:Talisker_distillery.jpg
Tamdhu;Knockando in Banffshire, Scotland[1];Speyside;1897;Ian Macleod Distillers[2];;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Tamdhu_distillery;;1897[1];Operational;;3 wash stills3 spirit stills;4,500,000 litres;;1911–1912, 1928–1947, 2010–2013 [1];;;;;;;;;;;;;57.4575;-3.355833;/wiki/File:Tamdhu_Distillery_-_geograph.org.uk_-_3457031.jpg
Tamnavulin;Tomnavoulin, Ballindalloch, Banffshire, Scotland, United Kingdom;Speyside;1966;Whyte & Mackay;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Tamnavulin_distillery;;1966;Operational;Springs in Easterton;3 wash stills3 spirit stills;4,000,000 litres/year;;;;;;;;;;;;;;;57.321944;-3.305;/wiki/File:Tamnavulin_Distillery_-_geograph.org.uk_-_1947733.jpg
Teaninich;"Alness 57°41′30″N 4°15′38″W﻿ / ﻿57.691583°N 4.260639°W﻿ / 57.691583; -4.260639";Highland;1817;Diageo;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Teaninich_distillery;;1817;Open;Dairywell spring;6 wash stills6 spirit stills;9,300,000 L;;1939 to 1946, 1985 to 1991;;;Hugh Munro;;;;;;;;;;57.691583;-4.260639;/wiki/File:Teaninich_Distillery_-_geograph.org.uk_-_1140657.jpg
Tobermory;Isle of Mull, Scotland;Island;1798;Distell(Heineken N.V.);;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Tobermory_distillery;;1798;Operational;;2 Wash stills2 Spirit stills;1,000,000 L;tobermorydistillery.com;;18 years old;;John Sinclair;46.3%;;;;;;;;;56.626944;-6.067778;/wiki/File:Tobermory_Distillery_(46047208591).jpg
Tomatin;Inverness;Highland;1897;Takara Shuzo Corp.;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Tomatin_distillery;;1897;Operational;Allt na Frìthe;6 wash stills6 spirit stills;5,050,000 litres per year;;;NAS, 12 Year Old, 21 Year Old;;;;Blended;;;;;;;;57.338889;-4.0;/wiki/File:Tomatin_Distillery_-_geograph.org.uk_-_1820656.jpg
Tomintoul;"Kirkmichael, near Tomintoul 57°18′43″N 3°24′45″W﻿ / ﻿57.312012°N 3.412366°W﻿ / 57.312012; -3.412366";Speyside;1964;Angus Dundee;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Tomintoul_distillery;;1964;Open;Ballantruan spring;2 wash stills2 spirit stills;3,300,000 litres of pure alcohol per year;http://www.tomintoulwhisky.com/;;no age indication;Oloroso and portwood finishes for the 12-year-old, other ages unspecified;Hey & Macleod and W. and S. Strong;40%;;;;;;;;;57.312012;-3.412366;/wiki/File:Tomintoul_Distillery_-_2008.jpg
Torabhaig;Teangue, Sleat, Scotland;Island;2017;Mossburn Distillers;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Torabhaig_distillery;;January 2017;;Allt Gleann Thorabhaig and the Allt Breacach;1 wash still1 spirit still;0.5 million-Lpa (liters of pure alcohol);torabhaig.com;;;;Sir Iain Noble;46%;;;;;;;;;57.101667;-5.847222;/wiki/File:Skye_Teangue_1.jpg
Tormore;;Speyside;1958;Elixir Distillers;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Tormore_distillery;;1958;Active;Allt an Torra Mhoir Burn;4 wash stills4 spirit stills;3,700,000 litres;;;;;;;;;;;;;;;57.389722;-3.406667;/wiki/File:Tormore_Distillery_-_geograph.org.uk_-_1493319.jpg
Tullibardine;Blackford, Perthshire;Highland;1949;Picard Vins & Spiritueux;;False;False;Malt Whisky;https://en.wikipedia.org/wiki/Tullibardine_distillery;;1949;Operational;Ochil Hills, Danny Burn;2 wash stills2 spirit stills;2,700,000 litres;;;;Bourbon, Sherry;;40;Single Malt;;;;;;;;56.254167;-3.796389;/wiki/File:Tullibardine_Distillery_-_geograph.org.uk_-_1801793.jpg
Uile-bheist;;Highland;2023;;;False;False;Malt Whisky;https://en.wikipedia.org/w/index.php?title=Uile-bheist&action=edit&redlink=1;;;;;;;;;;;;;;;;;;;;;;;
